2026-03-07 16:06:21 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-03-07 16:06:21 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-03-07 16:06:21 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-03-07 16:06:21 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourceTemplatesRequest
2026-03-07 16:09:08 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:09:40 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:09:40 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:09:43 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:09:43 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:10:09 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:12:05 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:13:06 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:14:45 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:15:47 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:16:59 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-03-07 16:16:59 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-03-07 16:16:59 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-03-07 16:16:59 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourceTemplatesRequest
2026-03-07 16:18:44 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:19:46 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:38:33 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:39:35 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:40:43 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:41:44 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 16:43:56 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 16:44:57 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:06:23 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:08:42 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:11:06 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:14:08 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:14:18 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:15:00 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:16:51 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:17:31 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:25:16 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:25:42 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: cbe72677c39b493894829a08515abb90
2026-03-07 17:26:14 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 67d857ca14ca4f5eaba9fd7e73310a23
2026-03-07 17:26:34 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager shutting down
2026-03-07 17:26:49 | mcp.server.streamable_http_manager | INFO | StreamableHTTP session manager started
2026-03-07 17:29:16 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 77f40d23b30044919057e7790fd59953
2026-03-07 17:29:17 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 513f86bf8b4d4f1fb43be4e9add7f191
2026-03-07 17:29:18 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 487e0c10b13c4814837ac519869ed760
2026-03-07 17:29:19 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: c0d314b17e45423f98766fcd26af3893
2026-03-07 17:29:20 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 9eab35eb4d254c11a6f97bec23561195
2026-03-07 17:29:21 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: ee05dce3fd874c97b8ba5f7da515babb
2026-03-07 17:29:22 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: cc85e6f12d27476c9c8b45a11a5fa5f7
2026-03-07 17:29:23 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 2f4b450b76014ab9be82dd3b860685da
2026-03-07 17:29:24 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 53d400e026514ccfa58f615b378494a4
2026-03-07 17:29:25 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 6110531f757d4d78844be89dd8eeaed3
2026-03-07 17:29:26 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 8e68e8574cc049db8480f5e4a99ee8a1
2026-03-07 17:29:27 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 44d5447520b840e1a8857324084f8a5f
2026-03-07 17:29:28 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: ec47d1307bc3474bb9baf4741c5a50f0
2026-03-07 17:29:29 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: a30db5f947b04577802e6cc336c3a36e
2026-03-07 17:29:30 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 32ca8050058d4d8bbd0b31a1bd91a67f
2026-03-07 17:29:31 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 70670617198d46a69dbb1d2bd877df55
2026-03-07 17:29:33 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 02615fc1fe0144b48e2e025f2fcb9905
2026-03-07 17:29:33 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: bdc86bc741b542a5938f81844e34d911
2026-03-07 17:29:35 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 5af55479509d4946a1641fc0b8304030
2026-03-07 17:29:37 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 14fc6ad6bb2648779c8c022db95e2189
2026-03-07 17:29:37 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 8165cddfd9974e2aa7f7772abfcb2f06
2026-03-07 17:29:39 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 98c4fd51179a4594ad2d645c027857aa
2026-03-07 17:29:41 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 9d1f460634464edcb481e94c057efbbf
2026-03-07 17:29:41 | mcp.server.streamable_http_manager | INFO | Created new transport with session ID: 3dc7faafa5354f20aeb690a7bfa9ad34
